tipo,numero,titulo,secao,estrofe,texto,arquivo
hino,159,Deus amou o mundo,estrofe,1,"Deus amou o mundo e enviou Jesus, O Autor da graça, que nos resgatou; Grande vitupério suportou na cruz; Pela Sua morte, aohomem perdo",docs/ccb-hinario-5-do/do/musescore/xml/hino-159.mscx
hino,159,Deus amou o mundo,estrofe,2,"O decreto santo do eterno Deus Foi, na cruz, cumprido pelo Redentor; O Seu sacrifício nos abriu os céus, Trouxe luz e vida para o peca",docs/ccb-hinario-5-do/do/musescore/xml/hino-159.mscx
hino,159,Deus amou o mundo,estrofe,3,"Por amor profundo, Deus mandou Jesus; Todo o que crer n'Ele não perecerá, Mas a vida eterna, em Seu lar de luz, Com superna glória, junto a Deus, te",docs/ccb-hinario-5-do/do/musescore/xml/hino-159.mscx
hino,159,Deus amou o mundo,coro,,"ou. dor. rá. Que glorioso amor, que sublime amor Deus manifestou, salvando o pecador! Que divino amor, que imenso amor Deus nos revelou em Cristo,._-o Salvador!",docs/ccb-hinario-5-do/do/musescore/xml/hino-159.mscx
hino,160,"""Sou o Caminho, a Verdade e a Vida""",estrofe,1,"""Sou o Caminho"", dissenos Jesus; Nesse Caminho vamos nós andar, Firmes na fé, pois ela nos conduz Na esperança de, no céu, morar.",docs/ccb-hinario-5-do/do/musescore/xml/hino-160.mscx
hino,160,"""Sou o Caminho, a Verdade e a Vida""",estrofe,2,"""Sou a Verdade"", disse o Salvador; Nessa Verdade vamos nos firmar; Ela nos leva ao reino de amor, Onde os fiéis em breve irão entrar.",docs/ccb-hinario-5-do/do/musescore/xml/hino-160.mscx
hino,160,"""Sou o Caminho, a Verdade e a Vida""",estrofe,3,"""Eu sou a Vida"", disse o Redentor; É essa Vida que suplanta o mal, Vida perfeita, Vida de amor, Vida sublime e celestial.",docs/ccb-hinario-5-do/do/musescore/xml/hino-160.mscx
hino,160,"""Sou o Caminho, a Verdade e a Vida""",estrofe,4,"""Ninguém virá ao Pai, senão por Mim"", Disse Jesus, Autor da salvação; Só no Senhor há dádivas sem fim, Só n'Ele alcançaremos redenção.",docs/ccb-hinario-5-do/do/musescore/xml/hino-160.mscx
hino,161,Cristo quer salvar,estrofe,1,"O Evangelho vamos anun-ciar, Pois Cristo quer salvar e quer justificar; Verteu na cruz Seu sangue expiador O justo Redentor.",docs/ccb-hinario-5-do/do/musescore/xml/hino-161.mscx
hino,161,Cristo quer salvar,estrofe,2,"O Evangelho vamos proclamar, Pois Cristo quer salvar e quer justificar; Mui breve, em nuvens, Ele voltará E o prêmio nos dará.",docs/ccb-hinario-5-do/do/musescore/xml/hino-161.mscx
hino,161,Cristo quer salvar,estrofe,3,"Do Evangclho temos que falar, Pois Cristo quer salvar e quer justificar; Por essa graça, damos o louvor A Deus, o Criador.",docs/ccb-hinario-5-do/do/musescore/xml/hino-161.mscx
hino,161,Cristo quer salvar,coro,,"Em Cristo há perdão, eterna salvação, É Ele a celeste Luz; É, do mundo, eterna Redenção; Só Ele ao céu conduz.",docs/ccb-hinario-5-do/do/musescore/xml/hino-161.mscx
